Time,C0,C1,C2,C3
1621631602879,0.0,0.0,0.0,0.0
1621631602980,0.0,0.0,0.0,0.0
1621631603080,0.0,0.0,0.0,0.0
1621631603181,0.0,0.0,0.0,0.0
1621631603281,0.0,0.0,0.0,0.0
1621631603382,0.0,0.0,0.0,0.0
1621631603482,0.0,0.0,0.0,0.0
1621631603582,0.0,0.0,0.0,0.0
1621631603683,0.0,0.0,0.0,0.0
1621631603784,11.1,20.0,18.2,10.0
1621631603884,0.0,0.0,9.1,9.1
1621631603985,0.0,0.0,0.0,0.0
1621631604086,0.0,0.0,0.0,0.0
1621631604186,0.0,0.0,0.0,0.0
1621631604287,36.4,0.0,0.0,10.0
1621631604387,42.9,0.0,0.0,0.0
1621631604488,46.2,0.0,0.0,11.1
1621631604588,11.1,0.0,0.0,0.0
1621631604689,11.1,0.0,0.0,0.0
1621631604789,20.0,10.0,16.7,0.0
1621631604890,33.3,0.0,0.0,0.0
1621631604990,27.3,0.0,0.0,0.0
1621631605090,30.0,0.0,0.0,0.0
1621631605191,38.5,0.0,0.0,0.0
1621631605292,20.0,0.0,0.0,0.0
1621631605392,41.7,10.0,10.0,10.0
1621631605493,30.0,10.0,0.0,0.0
1621631605593,27.3,9.1,0.0,0.0
1621631605694,30.0,10.0,0.0,0.0
1621631605794,22.2,0.0,0.0,0.0
1621631605895,27.3,0.0,9.1,0.0
1621631605995,22.2,10.0,0.0,9.1
1621631606096,38.5,0.0,0.0,10.0
1621631606196,38.5,10.0,0.0,0.0
1621631606297,30.0,0.0,0.0,0.0
1621631606397,27.3,0.0,0.0,0.0
1621631606498,36.4,0.0,0.0,0.0
1621631606598,33.3,10.0,9.1,9.1
1621631606699,38.5,0.0,0.0,9.1
1621631606799,22.2,0.0,0.0,0.0
1621631606900,38.5,10.0,0.0,10.0
1621631607000,50.0,10.0,10.0,10.0
1621631607101,41.7,0.0,0.0,0.0
1621631607201,12.5,0.0,9.1,0.0
1621631607302,46.2,0.0,0.0,10.0
1621631607402,30.0,0.0,0.0,0.0
1621631607503,36.4,0.0,9.1,0.0
1621631607603,27.3,0.0,0.0,0.0
1621631607704,41.7,0.0,0.0,0.0
1621631607804,20.0,10.0,10.0,10.0
1621631607905,42.9,0.0,10.0,0.0
1621631608005,12.5,9.1,0.0,0.0
1621631608106,11.1,0.0,0.0,0.0
1621631608206,27.3,18.2,0.0,0.0
1621631608307,22.2,0.0,10.0,10.0
1621631608407,20.0,0.0,0.0,0.0
1621631608508,27.3,0.0,9.1,0.0
1621631608608,12.5,0.0,0.0,0.0
1621631608709,33.3,0.0,10.0,0.0
1621631608809,0.0,0.0,0.0,0.0
1621631608910,27.3,0.0,10.0,0.0
1621631609010,41.7,10.0,9.1,10.0
1621631609110,33.3,0.0,0.0,0.0
1621631609211,20.0,0.0,9.1,0.0
1621631609311,0.0,0.0,0.0,0.0
1621631609412,0.0,0.0,0.0,0.0
1621631609512,10.0,18.2,10.0,10.0
1621631609613,0.0,0.0,0.0,0.0
1621631609713,0.0,0.0,0.0,0.0
1621631609814,0.0,0.0,0.0,0.0
1621631609914,0.0,0.0,0.0,0.0
1621631610015,0.0,0.0,0.0,0.0
1621631610115,9.1,0.0,0.0,0.0
1621631610216,0.0,0.0,0.0,0.0
